21.05643,7.76000,9.11300,8.84000,15.34224,15.41516,32.77000,2.35267
20.91286,8.25000,9.22150,9.24000,15.47026,15.54379,32.85000,2.33333
20.91321,8.20000,9.25250,9.80000,15.56765,15.64164,32.60000,2.35467
21.46786,8.18000,9.27600,9.53000,15.79031,15.86537,32.20000,2.33200
21.64143,8.06000,9.61650,9.81000,15.77811,15.85310,31.99000,2.33067
21.51786,8.04000,9.58650,9.82000,15.93975,16.01552,31.91000,2.34333
21.40500,8.03000,9.62000,9.60000,16.09094,16.16742,32.00000,2.29333
21.28750,8.09000,9.75200,9.85000,16.00476,16.08083,32.01000,2.27200
21.67786,8.24000,10.14350,9.93000,16.17263,16.24950,32.59000,2.49333
21.94571,8.19000,10.27200,9.60000,16.11510,16.19169,32.52000,2.52933
22.05786,8.08000,10.05800,9.75000,16.33278,16.41041,32.19000,2.52333
21.78071,8.12000,10.23050,9.53000,16.14972,16.22648,32.12000,2.48867
21.41250,8.02000,10.12550,9.57000,15.97114,16.04705,32.26000,2.48267
22.09393,8.20000,9.90250,9.68000,16.11261,16.18919,32.29000,2.43867
22.47571,7.98000,9.98300,9.49000,16.00551,16.08158,31.94000,2.53400
22.29679,7.81000,9.69950,9.20000,15.81946,15.89464,31.21000,2.33333
22.63143,7.87000,9.71950,9.23000,15.74897,15.82382,31.52000,2.29867
22.72250,7.75000,9.59350,8.93000,15.71211,15.78679,31.10000,2.21000
22.44429,7.53000,9.34900,8.54000,15.61298,15.68719,30.47000,2.16400
22.36429,7.64000,9.39850,8.86000,15.83963,15.91492,30.35000,2.20600
22.24179,7.92000,9.53450,9.17000,16.21447,16.29154,30.98000,2.22933
